FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Batch Feeder To Rdbms
FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- Start.
FFFFEED 2016/05/26 18:10:55 -I- *** Version:  V4.5.5.0 / 25/05/2016 10:01:02
FFFFEED 2016/05/26 18:10:55 -I- *** Platform: WIN32 / TCPIP/SOCKET
FFFFEED 2016/05/26 18:10:55 -I- *** Architecture: 32 bits
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Rdbms:         TRUST_455
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Rdbms User:    TRUST_455
FFFFEED 2016/05/26 18:10:55 -I- Unit attached to hits:    CLEAR_5
FFFFEED 2016/05/26 18:10:55 -I- Hits file to load:        HitsList.xml
FFFFEED 2016/05/26 18:10:55 -I- Hits file binary:         No
FFFFEED 2016/05/26 18:10:55 -I- Force update of fields:   Yes
FFFFEED 2016/05/26 18:10:55 -I- Convert from ebcdic:      No
FFFFEED 2016/05/26 18:10:55 -I- Temporary file:           
FFFFEED 2016/05/26 18:10:55 -I- Classic merge mode:       0
FFFFEED 2016/05/26 18:10:55 -I- Merge mode algo:          FULL
FFFFEED 2016/05/26 18:10:55 -I- Initialising
FFFFEED 2016/05/26 18:10:55 -I- Initialising done.
FFFFEED 2016/05/26 18:10:55 -I- No format to re-apply.
FFFFEED 2016/05/26 18:10:55 -I- Using XML parser: 'XERCES'
FFFFEED 2016/05/26 18:10:55 -I- Insertion frequency: '1' records
FFFFEED 2016/05/26 18:10:55 -I- Setting file encoding: 'UTF-8'
FFFFEED 2016/05/26 18:10:55 -I- Please wait while parsing ...
FFFFEED 2016/05/26 18:10:55 -I- 1 (hits) 1 (records)
FFFFEED 2016/05/26 18:10:55 -I- 2 (hits) 2 (records)
FFFFEED 2016/05/26 18:10:55 -I- 3 (hits) 2 (records)
FFFFEED 2016/05/26 18:10:55 -I- 4 (hits) 3 (records)
FFFFEED 2016/05/26 18:10:55 -I- 5 (hits) 3 (records)
FFFFEED 2016/05/26 18:10:55 -I- 6 (hits) 3 (records)
FFFFEED 2016/05/26 18:10:55 -I- 7 (hits) 4 (records)
FFFFEED 2016/05/26 18:10:55 -I- 8 (hits) 4 (records)
FFFFEED 2016/05/26 18:10:55 -I- 9 (hits) 5 (records)
FFFFEED 2016/05/26 18:10:55 -I- 10 (hits) 6 (records)
FFFFEED 2016/05/26 18:10:55 -I- 11 (hits) 6 (records)
FFFFEED 2016/05/26 18:10:55 -I- 12 (hits) 6 (records)
FFFFEED 2016/05/26 18:10:55 -I- 13 (hits) 7 (records)
FFFFEED 2016/05/26 18:10:55 -I- 14 (hits) 8 (records)
FFFFEED 2016/05/26 18:10:55 -I- 15 (hits) 9 (records)
FFFFEED 2016/05/26 18:10:55 -I- 16 (hits) 10 (records)
FFFFEED 2016/05/26 18:10:55 -I- 17 (hits) 11 (records)
